RecordID,Hour,DayOfWeek,DayOfMonth,Consumption
83682,19.0,2.0,12.0,0.942
83711,19.0,2.0,12.0,1.038
83740,23.0,2.0,12.0,9.172
83757,1.0,2.0,12.0,1.072
83786,2.0,2.0,12.0,0.9
83815,6.0,2.0,12.0,0.966
83844,10.0,2.0,12.0,0.954
83873,12.0,2.0,12.0,1.044
83902,4.0,2.0,12.0,0.96
83931,22.0,2.0,12.0,9.172
83960,15.0,2.0,12.0,0.988
84004,17.0,2.0,12.0,0.984
84033,17.0,2.0,12.0,1.946
84062,7.0,2.0,12.0,2.03
84091,3.0,2.0,12.0,0.924
84120,5.0,2.0,12.0,0.94
84149,21.0,2.0,12.0,8.248
84178,13.0,2.0,12.0,0.948
84207,18.0,2.0,12.0,1.016
84236,21.0,2.0,12.0,10.338
84265,14.0,2.0,12.0,0.914
84293,8.0,2.0,12.0,0.902
84323,10.0,2.0,12.0,0.972
84337,2.0,2.0,12.0,1.0
84366,22.0,2.0,12.0,9.226
84395,23.0,2.0,12.0,5.748
84424,3.0,2.0,12.0,1.096
84453,11.0,2.0,12.0,1.0
84482,13.0,2.0,12.0,0.908
84511,4.0,2.0,12.0,1.916
84540,18.0,2.0,12.0,0.906
